Number,Kannada,in English,Mispelled Kannada
967,ಹರಡುವಿಕೆ,spread,ಹರಡುವಿ
968,ವ್ಯವಸ್ಥೆ,arrange,ವ್ಯವಸ್ಥ
969,ಶಿಬಿರದಲ್ಲಿ,camp,ಶಿಬಿರದಲ್ಲಿಾ
970,ಆವಿಷ್ಕಾರ,invent,ಆವಿಷ್ಕಾಾ
971,ಹತ್ತಿ,cotton,ಹತ್ತ
972,ಜನನ,born,ಜನನಾ
973,ನಿರ್ಧರಿಸಲು,determine,ನಿರ್ಧರಿಸಲ
974,ಕಾಲುಭಾಗ,quart,ಕಾಲುಭಾ
975,ಒಂಬತ್ತು,nine,ಒಂಬತ್ತ
976,ಟ್ರಕ್,truck,ಟ್ರಕ
977,ಶಬ್ದ,noise,ಶಬ್ದಾಾ
978,ಮಟ್ಟದ,level,ಮಟ್ಟ
979,ಅವಕಾಶ,chance,ಅವಕಾ
980,ಸಂಗ್ರಹಿಸಲು,gather,ಸಂಗ್ರಹಿಸಲ
981,ಅಂಗಡಿ,shop,ಅಂಗಡ
982,ಏರಿಕೆಯ,stretch,ಏರಿಕೆ
983,ಎಸೆಯಲು,throw,ಎಸೆಯಲುಾ
984,ಶೈನ್,shine,ಶೈನ್ಾ
985,ಆಸ್ತಿ,property,ಆಸ್ತಿಾ
986,ಕಾಲಮ್,column,ಕಾಲಮ್ಾ
987,ಅಣು,molecule,ಅಣ
988,ಆಯ್ಕೆ,select,ಆಯ್ಕ
989,ತಪ್ಪು,wrong,ತಪ್ಪ
990,ಬೂದು,gray,ಬೂದ
991,ಮತ್ತೆ,repeat,ಮತ್ತ
992,ಅಗತ್ಯವಿರುತ್ತದೆ,require,ಅಗತ್ಯವಿರುತ್ತದೆಾ
993,ವಿಶಾಲ,broad,ವಿಶಾ
994,ತಯಾರು,prepare,ತಯಾರ
995,ಉಪ್ಪು,salt,ಉಪ್ಪ
996,ಮೂಗು,nose,ಮೂಗ
997,ಬಹುವಚನ,plural,ಬಹುವಚ
998,ಕೋಪ,anger,ಕೋ
999,ಹಕ್ಕು,claim,ಹಕ್ಕ
1000,ಖಂಡದ,continent,ಖಂಡ
